Date,Time (UT),Secondary Move
29/06/1994,17:36 UT,5
15/01/1995,23:40 UT,5
28/08/1995,15:16 UT,6.5
14/03/1996,18:47 UT,6
30/10/1996,17:40 UT,5
18/03/1997,22:55 UT,-2.4
12/01/1998,01:15 UT,21
01/02/1998,16:40 UT,-18.6
04/06/1998,01:01 UT,16.6
28/06/1998,17:26 UT,-15.2
15/09/1999,15:40 UT,3
09/01/2000,17:42 UT,4.2
15/06/2000,19:38 UT,3.6
02/12/2002,20:50 UT,3.6
22/12/2004,23:12 UT,4.16
31/07/2006,14:35 UT,5.34
20/07/2009,09:35 UT,2.97
24/01/2013,17:58 UT,3.6
11/11/2013,17:41 UT,2.97
05/02/2015,17:26 UT,1.78
,,
