,Lens Name,R_Ein,R_Ein E1,R_Ein E2,γ,γ E1,γ E2,gamma_systematic
0,SDSSJ0008-0004,1.225,0.009,0.008,1.75,0.12,0.14,0.3263066428117391
1,SDSSJ0029-0055,0.945,0.003,0.003,2.69,0.05,0.04,0.24628552318264615
2,SDSSJ0037-0942,1.476,0.007,0.01,2.38,0.02,0.02,0.11005792164381387
3,SDSSJ0252+0039,1.028,0.001,0.001,1.55,0.03,0.04,0.12452670313266254
4,SDSSJ0330-0020,1.094,0.003,0.003,2.14,0.01,0.01,0.166904946712754
5,SDSSJ0728+3835,1.261,0.002,0.003,1.64,0.01,0.47,0.04916873754456842
6,SDSSJ0737+3216,0.963,0.001,0.001,2.32,0.04,0.03,0.20300880086634523
7,SDSSJ0819+4534,0.784,0.007,0.007,1.84,0.06,0.09,0.2028664518983014
8,SDSSJ0903+4116,1.275,0.001,0.002,2.17,0.01,0.01,0.036698372863743216
9,SDSSJ0912+0029,1.609,0.002,0.001,1.58,0.01,0.01,0.06204068711831807
10,SDSSJ0936+0913,1.096,0.003,0.003,2.21,0.03,0.05,0.07616227749783208
11,SDSSJ0959+0410,0.96,0.002,0.002,2.22,0.03,0.02,0.08497662741855704
12,SDSSJ1023+4230,1.4,0.002,0.002,2.22,0.05,0.06,0.14200243814431532
13,SDSSJ1100+5329,1.461,0.003,0.003,1.89,0.03,0.03,0.14240213388763015
14,SDSSJ1112+0826,1.497,0.012,0.009,1.92,0.03,0.03,0.1756842685248988
15,SDSSJ1134+6027,1.243,0.005,0.004,1.75,0.01,0.01,0.19674761675743385
16,SDSSJ1204+0358,1.295,0.002,0.003,2.02,0.03,0.03,0.04724455591407734
17,SDSSJ1213+6708,1.451,0.005,0.005,1.71,0.01,0.01,0.21807263777464414
18,SDSSJ1218+0830,1.489,0.008,0.007,1.96,0.02,0.02,0.09896765314204953
19,SDSSJ1250+0523,1.12,0.001,0.001,2.18,0.03,0.03,0.08452631177475452
20,SDSSJ1306+0600,1.312,0.006,0.006,1.97,0.05,0.06,0.04353412828599553
21,SDSSJ1313+4615,1.29,0.005,0.006,2.18,0.02,0.02,0.08221490818425836
22,SDSSJ1402+6321,1.371,0.001,0.004,1.57,0.04,0.5,0.1326745952877972
23,SDSSJ1531-0105,1.712,0.009,0.004,2.07,0.1,0.12,0.2289470349007689
24,SDSSJ1621+3931,1.266,0.004,0.004,2.02,0.06,0.06,0.03863618669437985
25,SDSSJ1627-0053,1.221,0.001,0.001,1.93,0.05,0.04,0.12877355037742672
26,SDSSJ1630+4520,1.791,0.001,0.001,1.92,0.02,0.02,0.0837696296804601
27,SDSSJ1636+4707,1.084,0.003,0.002,1.75,0.04,0.27,0.07451442812967629
28,SDSSJ2238-0754,1.27,0.001,0.001,2.34,0.04,0.03,0.12196724905324864
29,SDSSJ2300+0022,1.232,0.004,0.004,1.66,0.09,0.12,0.19377053888682036
30,SDSSJ2302-0840,1.038,0.001,0.001,2.6,0.02,0.02,0.08313619514290871
31,SDSSJ2303+1422,1.622,0.002,0.002,1.94,0.02,0.02,0.0770845683133941
32,SDSSJ2343-0030,1.506,0.002,0.002,2.16,0.05,0.04,0.11814873265350141
33,SDSSJ2347-0005,1.077,0.004,0.005,1.98,0.03,0.03,0.06819695026641119
34,SL2SJ0208-0714,2.583,0.005,0.042,1.98,0.03,0.03,0.07021612612318938
35,SL2SJ0214-0405,1.221,0.006,0.006,1.86,0.04,0.04,0.32863237369911713
36,SL2SJ0217-0513,1.258,0.003,0.003,2.34,0.06,0.06,0.23393453045868987
37,SL2SJ0219-0829,1.285,0.006,0.008,2.62,0.18,0.07,0.08382405653139574
38,SL2SJ0225-0454,1.716,0.017,0.022,1.96,0.03,0.03,0.11426157614138785
39,SL2SJ0226-0420,1.099,0.014,0.014,2.14,0.1,0.1,0.07712200591309205
40,SL2SJ0226-0406,1.289,0.017,0.015,2.02,0.17,0.22,0.11231381925404987
41,SL2SJ0232-0408,1.012,0.006,0.007,2.49,0.16,0.15,0.19467547945245237
42,SL2SJ0849-0412,1.074,0.012,0.012,2.26,0.03,0.03,0.18284196841651632
43,SL2SJ0849-0251,1.192,0.009,0.007,2.24,0.31,0.27,0.09000200378430648
44,SL2SJ0858-0143,0.953,0.025,0.024,2.09,0.28,0.45,0.27339396843640196
45,SL2SJ0901-0259,0.997,0.064,0.023,2.11,0.07,0.08,0.054127625084730305
46,SL2SJ0904-0059,1.381,0.013,0.016,2.24,0.11,0.1,0.193934329831554
47,SL2SJ0959+0206,0.724,0.018,0.002,2.16,0.18,0.27,0.30043592213148107
48,SL2SJ1358+5459,1.241,0.014,0.013,2.08,0.07,0.08,0.034445084750587336
49,SL2SJ1359+5535,1.107,0.013,0.014,1.95,0.16,0.15,0.2616365498659583
50,SL2SJ1401+5544,1.924,0.012,0.012,2.03,0.03,0.03,0.18520623383808668
51,SL2SJ1402+5505,1.233,0.009,0.012,1.76,0.15,0.14,0.2081768701248492
52,SL2SJ1405+5243,1.431,0.005,0.011,1.72,0.11,0.09,0.08489906101482231
53,SL2SJ1406+5226,1.034,0.011,0.01,1.91,0.08,0.06,0.254303854948712
54,SL2SJ1411+5651,0.92,0.001,0.003,1.75,0.02,0.25,0.2773200234077964
55,SL2SJ1420+5630,1.391,0.007,0.004,2.06,0.04,0.04,0.2209816058689387
56,SL2SJ1427+5516,0.926,0.016,0.011,2.29,0.09,0.06,0.3276913422194451
57,SL2SJ2214-1807,0.807,0.255,0.114,2.2,0.37,0.28,0.15586626349693228
58,SDSSJ0151+0049,0.649,0.005,0.004,2.26,0.04,0.05,0.32640100400428707
59,SDSSJ0747+5055,0.699,0.003,0.002,2.48,0.02,0.02,0.2606113865176492
60,SDSSJ0801+4727,0.504,0.009,0.005,2.68,0.19,0.06,0.31037445760739624
61,SDSSJ0830+5116,1.129,0.003,0.003,2.09,0.02,0.03,0.3297908192524705
62,SDSSJ0944-0147,0.738,0.008,0.008,2.42,0.18,0.17,0.2008870985234008
63,SDSSJ1159-0007,0.674,0.002,0.003,2.67,0.06,0.05,0.3299999518759261
64,SDSSJ1215+0047,1.338,0.007,0.005,2.19,0.01,0.02,0.23688411277969598
65,SDSSJ1221+3806,0.692,0.006,0.006,2.24,0.07,0.1,0.20213865214017268
66,SDSSJ1234-0241,0.559,0.005,0.005,1.98,0.07,0.07,0.32761662997930047
67,SDSSJ1318-0104,0.646,0.003,0.002,2.22,0.03,0.03,0.3162492409614403
68,SDSSJ1337+3620,1.416,0.006,0.003,2.18,0.04,0.08,0.32463432068365966
69,SDSSJ1349+3612,0.673,0.004,0.003,2.36,0.04,0.04,0.23338778121994816
70,SDSSJ1352+3216,1.693,0.006,0.005,2.21,0.01,0.01,0.3284569598225182
71,SDSSJ1542+1629,1.029,0.006,0.006,2.16,0.04,0.03,0.32963531504235366
72,SDSSJ1545+2748,1.122,0.009,0.009,1.94,0.03,0.02,0.2368831188191653
73,SDSSJ1601+2138,0.787,0.013,0.013,2.35,0.04,0.05,0.16416170564373264
74,SDSSJ1631+1854,1.629,0.001,0.001,2.07,0.02,0.02,0.2864886609202674
75,SDSSJ2125+0411,1.234,0.003,0.003,1.72,0.01,0.01,0.30560366288442953
76,SDSSJ2303+0037,0.986,0.002,0.005,2.39,0.39,0.08,0.32887984221952216
