lens_name,light_model,r_eff,r_eff_e1,r_eff_e2,qL,qL_e1,qL_e2,phi_L,phi_L_e1,phi_L_e2,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2
SDSSJ0008-0004,single_sersic,1.926,0.025,0.03,0.8894270030270157,0.009420316854076849,0.01006506711866928,54.410205661746254,2.2675851854491427,3.1211609841626213,1.9256825042834473,4.0,-0.018450580250762787,0.05449225411187117,0.2438885059362176,,,,,
SDSSJ0029-0055,double_sersic,2.386,0.005,0.005,0.8434416782749564,0.0009954951897814812,0.0013005123710781996,62.59856914510662,0.23649010386796476,0.19816737849289723,0.9353518208469669,4.0,-0.049018952324671516,0.06943579542700329,2.9542565053448397,4.120640981799953,1.0,-0.049018952324671516,0.06943579542700329,0.29231462262264113
SDSSJ0037-0942,double_sersic,3.334,0.047,0.047,0.7364157250998125,0.000611825925787679,0.0006392562618728892,79.34603028203199,0.07295879295071472,0.09381183248214597,1.7857528579411246,4.0,-0.1413508670801019,0.05506048826831111,2.918358609409207,11.892235279164876,1.0,-0.1413508670801019,0.05506048826831111,0.05116538796395433
SDSSJ0252+0039,single_sersic,1.485,0.005,0.005,0.9177001245615637,0.0018430329701483172,0.0017781079398615507,-20.10293212531858,1.0946486611410258,0.6419279973852596,1.4855186623422711,4.0,0.03257086628913291,-0.027994423764341102,0.8922171234102476,,,,,
SDSSJ0330-0020,single_sersic,1.243,0.004,0.005,0.750682839296305,0.0018244365736890256,0.0019580493706536917,-20.585482569050757,0.34853410709170163,0.22416261819712346,1.2432274008379864,4.0,0.10703430227008374,-0.09371820424962743,0.9672316375139853,,,,,
SDSSJ0728+3835,single_sersic,1.899,0.003,0.003,0.7466593235404949,0.0007995704127038428,0.0007159008492046981,22.439556813050245,0.1091052676746429,0.10575437203429772,1.8991984929750427,4.0,0.10284102813336618,0.10233604099685921,1.8982818618213533,,,,,
SDSSJ0737+3216,single_sersic,2.828,0.017,0.012,0.8518329904853474,0.0027750128918337946,0.0020516117876108186,-12.758050179550064,0.48164531849725023,0.5915326339556923,2.8279349761575676,4.0,0.07237558491118237,-0.03429209279737719,3.5667689832119263,,,,,
SDSSJ0819+4534,double_sersic,3.063,0.008,0.008,0.753100146620844,0.0009345612606267428,0.0009123625313879336,46.526515463248145,0.15217485209390702,0.12511341737747728,0.8875820958645979,4.0,-0.0074448719373180795,0.14049908120737103,3.493565998529089,5.570925978694557,1.0,-0.0074448719373180795,0.14049908120737103,0.20124912518861054
SDSSJ0903+4116,double_sersic,2.982,0.07,0.07,0.8398558894629008,0.003579578024945018,0.0021852881264285973,-85.23504590421115,0.6810263819680671,0.434970677443431,1.0357083279432777,4.0,-0.08583145573005772,-0.013656351815503452,1.0494959466126135,6.039004263442059,1.0,-0.08583145573005772,-0.013656351815503452,0.05446487273366588
SDSSJ0912+0029,single_sersic,4.21,0.005,0.006,0.6593076226776051,0.0007506819676181831,0.0005160225676572594,77.75133142267165,0.0555249400813409,0.034130572476755106,4.210354499591507,4.0,-0.1868425021349169,0.0852086486894503,10.572976091956228,,,,,
SDSSJ0936+0913,double_sersic,2.108,0.006,0.006,0.8077072360654673,0.0007441573658373279,0.000730721365012621,-56.43965323912886,0.08983348769310595,0.14298266274526128,1.1627880971251685,4.0,-0.041277889883363963,-0.09812475219830127,3.9960200226816323,3.9137714305217464,1.0,-0.041277889883363963,-0.09812475219830127,0.4029109873822722
SDSSJ0959+0410,double_sersic,0.968,0.001,0.001,0.7160944341610485,0.0012881706803552495,0.0015682300843340435,30.934151069434712,0.13529363209971734,0.15355235708709003,0.49483065765210077,4.0,0.078018196379492,0.14578245186345376,69.53778380081802,1.2878248862728308,1.0,0.078018196379492,0.14578245186345376,25.19934618592647
SDSSJ1023+4230,single_sersic,1.969,0.002,0.004,0.8450404403502836,0.0007647495690946693,0.0008828587113154374,-75.75410823843552,0.15281536289924702,0.20426511341679543,1.9697640796235025,4.0,-0.07385717619626268,-0.04023893645320888,1.8872200202252771,,,,,
