Lens Name,γ,γ err,gamma_eth,gamma_err_eth,compare
SDSSJ0008-0004,1.75,0.13,2.08,0.075,True
SDSSJ0029-0055,2.69,0.045,2.32,0.13,True
SDSSJ0037-0942,2.38,0.02,,,True
SDSSJ0252+0039,1.55,0.035,1.92,0.095,True
SDSSJ0330-0020,2.14,0.01,2.15,0.02,True
SDSSJ0728+3835,1.64,0.24,1.99,0.11,True
SDSSJ0737+3216,2.32,0.035,2.28,0.07,True
SDSSJ0819+4534,1.84,0.075,,,True
SDSSJ0903+4116,2.17,0.01,2.23,0.05,True
SDSSJ0912+0029,1.58,0.01,,,False
SDSSJ0936+0913,2.21,0.04,2.13,0.08,True
SDSSJ0959+0410,2.22,0.025,2.08,0.07,True
SDSSJ1023+4230,2.22,0.055,1.95,0.14,True
SDSSJ1100+5329,1.89,0.03,,,True
SDSSJ1112+0826,1.92,0.03,,,True
SDSSJ1134+6027,1.75,0.01,,,True
SDSSJ1204+0358,2.02,0.03,,,True
SDSSJ1213+6708,1.71,0.01,,,False
SDSSJ1218+0830,1.96,0.02,,,False
SDSSJ1250+0523,2.18,0.03,1.84,0.04,True
SDSSJ1306+0600,1.97,0.055,,,True
SDSSJ1313+4615,2.18,0.02,,,True
SDSSJ1402+6321,1.57,0.27,2.0,0.155,True
SDSSJ1531-0105,2.07,0.11,,,True
SDSSJ1621+3931,2.02,0.06,,,True
SDSSJ1627-0053,1.93,0.045,2.08,0.0849999999999999,True
SDSSJ1630+4520,1.92,0.02,1.96,0.0849999999999999,True
SDSSJ1636+4707,1.75,0.155,,,True
SDSSJ2238-0754,2.34,0.035,2.07,0.08,True
SDSSJ2300+0022,1.66,0.105,2.55,0.115,True
SDSSJ2302-0840,2.6,0.02,,,True
SDSSJ2303+1422,1.94,0.02,2.09,0.04,True
SDSSJ2343-0030,2.16,0.045,,,True
SDSSJ2347-0005,1.98,0.03,,,True
SL2SJ0208-0714,1.98,0.03,,,False
SL2SJ0214-0405,1.86,0.04,,,False
SL2SJ0217-0513,2.34,0.06,,,False
SL2SJ0219-0829,2.62,0.125,,,False
SL2SJ0225-0454,1.96,0.03,,,False
SL2SJ0226-0420,2.14,0.1,,,False
SL2SJ0226-0406,2.02,0.195,,,False
SL2SJ0232-0408,2.49,0.155,,,False
SL2SJ0849-0412,2.26,0.03,,,False
SL2SJ0849-0251,2.24,0.29000000000000004,,,False
SL2SJ0858-0143,2.09,0.365,,,False
SL2SJ0901-0259,2.11,0.07500000000000001,,,False
SL2SJ0904-0059,2.24,0.10500000000000001,,,False
SL2SJ0959+0206,2.16,0.225,,,False
SL2SJ1358+5459,2.08,0.07500000000000001,,,False
SL2SJ1359+5535,1.95,0.155,,,False
SL2SJ1401+5544,2.03,0.03,,,False
SL2SJ1402+5505,1.76,0.14500000000000002,,,False
SL2SJ1405+5243,1.72,0.1,,,False
SL2SJ1406+5226,1.91,0.07,,,False
SL2SJ1411+5651,1.75,0.135,,,False
SL2SJ1420+5630,2.06,0.04,,,False
SL2SJ1427+5516,2.29,0.075,,,False
SL2SJ2214-1807,2.2,0.325,,,False
SDSSJ0151+0049,2.26,0.045,,,False
SDSSJ0747+5055,2.48,0.02,,,False
SDSSJ0801+4727,2.68,0.125,,,False
SDSSJ0830+5116,2.09,0.025,,,False
SDSSJ0944-0147,2.42,0.175,,,False
SDSSJ1159-0007,2.67,0.055,,,False
SDSSJ1215+0047,2.19,0.015,,,False
SDSSJ1221+3806,2.24,0.085,,,False
SDSSJ1234-0241,1.98,0.07,,,False
SDSSJ1318-0104,2.22,0.03,,,False
SDSSJ1337+3620,2.18,0.06,,,False
SDSSJ1349+3612,2.36,0.04,,,False
SDSSJ1352+3216,2.21,0.01,,,False
SDSSJ1542+1629,2.16,0.035,,,False
SDSSJ1545+2748,1.94,0.025,,,False
SDSSJ1601+2138,2.35,0.045,,,False
SDSSJ1631+1854,2.07,0.02,,,False
SDSSJ2125+0411,1.72,0.01,,,False
SDSSJ2303+0037,2.39,0.23500000000000001,,,False
