name,slit,width,seeing,z_lens,z_source,sigma_v,sigma_v_error,theta_E,theta_E_error,gamma,gamma_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,amp_sersic_1,r_sersic_2,n_sersic_2,amp_sersic_2
SL2SJ0208-0714,1.0,1.62,1.0,0.428,-1.0,295.0,27.0,2.583366898085673,0.0231831050185491,1.9831342462398025,0.07794382972164744,2.092,0.05207288737913426,double_sersic,0.6461581197626937,4.0,69.16663267396375,4.313815391361151,1.0,2.9383411039829013
SL2SJ0214-0405,1.0,1.88,0.8,0.609,1.88,287.0,47.0,1.2207574694114196,0.0060350278751053,1.8610199640056184,0.33144443737002843,1.184,0.046054233247335694,single_sersic,1.1772367719879142,4.0,3.669073704517337,,,
SL2SJ0217-0513,1.5,1.68,0.6,0.6459999999999999,1.85,239.0,27.0,1.2576558989110849,0.0026282943628138,2.3410033369940217,0.24113795154346718,0.681,0.020260908173129852,single_sersic,0.6768067993136564,4.0,10.141981030328513,,,
SL2SJ0219-0829,1.0,1.68,0.7,0.389,2.15,289.0,23.0,1.2845947036171346,0.0073052465633979494,2.624565144902733,0.15034569276235138,0.881,0.018613554201172864,double_sersic,0.2470621871263661,4.0,155.67213470944154,1.7891677873732503,1.0,6.073849853686906
SL2SJ0225-0454,1.0,0.81,0.7,0.238,1.2,234.0,21.0,1.71593290885694,0.019355275907021748,1.960098570969139,0.11788765169450187,2.55,0.05250952294584288,single_sersic,2.5511824529424336,4.0,0.9738118799998436,,,
SL2SJ0226-0420,1.0,1.62,0.6,0.494,1.23,263.0,24.0,1.098957482630059,0.0136630876511623,2.1412751386963413,0.12522987366250543,0.89,0.02234032228952841,single_sersic,0.8887315743050282,4.0,0.8321102694996734,,,
SL2SJ0226-0406,1.5,1.68,0.6,0.7659999999999999,-1.0,333.0,24.0,1.289256790051473,0.015697323887026347,2.018415513428858,0.22853168261251217,0.884,0.03921201856574079,single_sersic,0.8791637165188793,4.0,0.2286161559976696,,,
SL2SJ0232-0408,1.0,1.68,0.7,0.352,2.34,281.0,26.0,1.0116420186170254,0.0065666808218656,2.486679962941417,0.24963126460259608,1.128,0.025552956776075834,single_sersic,1.1293814072745456,4.0,0.7054779642453619,,,
SL2SJ0849-0412,0.9,1.6,0.9,0.722,1.54,320.0,24.0,1.0735311452603344,0.0120935725944263,2.258547405324524,0.18542589099093487,0.602,0.014455504142021475,single_sersic,0.6014812095467948,4.0,18.29971386797636,,,
SL2SJ0849-0251,0.9,1.6,0.8,0.274,2.09,276.0,35.0,1.191991112607405,0.0076868960716941995,2.236238159045547,0.3006385134359335,1.539,0.03252166047421318,single_sersic,1.5395335239180488,4.0,0.9480221386384188,,,
SL2SJ0858-0143,1.0,1.62,0.9,0.58,-1.0,233.0,25.0,0.9533058442596394,0.0241946341632003,2.094582310380062,0.45813863417752493,1.257,0.08005010680817361,single_sersic,1.2462353257742842,4.0,0.1100140125517106,,,
SL2SJ0901-0259,0.9,1.6,0.7,0.67,1.19,-1.0,-1.0,0.9965253103557482,0.0432926355855563,2.1107100436977966,0.09196000345026979,0.704,0.05387250133416863,single_sersic,0.6975768953264392,4.0,0.1548409966893931,,,
SL2SJ0904-0059,0.9,1.6,0.7,0.611,2.36,183.0,21.0,1.3805543465939896,0.01411513265761965,2.2428808463083767,0.22010005904454621,2.255,0.09932904912461409,single_sersic,2.248488158110716,4.0,0.0615272048902178,,,
SL2SJ0959+0206,0.9,1.6,0.7,0.552,3.35,188.0,22.0,0.7237135316311852,0.0102086194610339,2.15871780774839,0.3770642806812496,0.465,0.016393291310777103,single_sersic,0.463876173815854,4.0,0.7049945845208513,,,
SL2SJ1358+5459,1.0,1.62,0.8,0.51,-1.0,287.0,22.0,1.2407431392653248,0.0134431265813204,2.077511222399865,0.07996187749545375,1.024,0.03428819621969054,single_sersic,1.0271525865005589,4.0,0.3615298541982966,,,
SL2SJ1359+5535,1.0,1.62,0.7,0.7829999999999999,2.77,228.0,29.0,1.1065253826023058,0.0133668716646798,1.9510064727008447,0.3034286973027721,2.567,0.16280677381485084,single_sersic,2.5632112651421464,4.0,0.0240258854277569,,,
SL2SJ1401+5544,1.0,1.62,0.8,0.464,-1.0,297.0,22.0,1.924226314012084,0.01204308988758635,2.034453903351144,0.18797765558850765,1.637,0.03395449307529123,single_sersic,1.6387959029283512,4.0,13.208840027166165,,,
SL2SJ1402+5505,,,,0.412,-1.0,-1.0,-1.0,1.233304243095592,0.010482556947605,1.7551926790732244,0.25501449683296706,1.589,0.03265299986218725,single_sersic,1.5910686171456765,4.0,18.273658093439018,,,
SL2SJ1405+5243,1.0,1.62,0.8,0.526,3.01,284.0,21.0,1.4310837519208808,0.0077653811825606,1.7206307194669457,0.1278951595226611,1.02,0.026877685912295356,single_sersic,1.0213076151565406,4.0,0.5284866409335792,,,
SL2SJ1406+5226,1.0,1.62,0.9,0.716,1.47,253.0,19.0,1.0337287934522452,0.0109346017995812,1.912800797107697,0.2631637778141207,0.828,0.04654550031957976,single_sersic,0.8224323582268768,4.0,0.2205161639951835,,,
SL2SJ1411+5651,1.0,1.62,1.3,0.322,1.42,214.0,23.0,0.9195610608224384,0.0018684205921764,1.7473231065523338,0.3087446006207082,0.574,0.011749059536831022,single_sersic,0.5734957620361276,4.0,72.62232563949591,,,
SL2SJ1420+5630,1.0,1.62,0.9,0.483,3.12,228.0,19.0,1.3912801550846692,0.00591581954539705,2.0616061904179324,0.2242904066289182,1.788,0.03771972428319168,single_sersic,1.7858221269259815,4.0,10.473036672649872,,,
SL2SJ1427+5516,1.0,1.62,0.8,0.511,2.58,-1.0,-1.0,0.9262351452822856,0.0135768121500086,2.287965370570478,0.33676373629796913,0.267,0.0061249979591833335,double_sersic,0.1377415333789733,4.0,3.115244265244431,0.3125785749311956,1.0,2.5737644453808173
SL2SJ2214-1807,1.0,1.68,0.7,0.6509999999999999,-1.0,200.0,24.0,0.8066744153096188,0.18438035979645107,2.20252508450943,0.35963720374469915,0.939,0.04555149174286173,single_sersic,0.9375268581339709,4.0,0.2099669775201239,,,
