name,z_lens,z_source,sigma_v,sigma_v_error,theta_E,theta_E_error,gamma,gamma_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,amp_sersic_1,r_sersic_2,n_sersic_2,amp_sersic_2
SDSSJ0008-0004,0.44,1.192,227.74644959623004,27.228525212585563,1.2247385141457758,0.008746919121250949,1.74953255938758,0.35201308556024,1.926,0.047329065065771156,single_sersic,1.9256825042834476,4.0,0.2438885059362176,,,
SDSSJ0029-0055,0.227,0.931,215.76101556196386,14.837630272849681,0.9446925904908946,0.0026947092739452,2.6874663451451104,0.250446053325107,2.386,0.04798122966327562,double_sersic,0.9353518208469668,4.0,2.95425650534484,4.120640981799953,1.0,0.2923146226226411
SDSSJ0037-0942,0.195,0.632,264.69847020024133,7.797911958287364,1.475673703841136,0.0083451871725881,2.383191573485509,0.11163529036759272,3.334,0.08157954645620433,double_sersic,1.7857528579411246,4.0,2.918358609409207,11.892235279164876,1.0,0.0511653879639543
SDSSJ0252+0039,0.28,0.982,193.1231713089646,9.869019562914565,1.0283368015311731,0.0006470472184597999,1.549123102297036,0.1300610271997827,1.485,0.030117934856161703,single_sersic,1.4855186623422711,4.0,0.8922171234102476,,,
SDSSJ0330-0020,0.351,1.071,273.2374705114989,22.915758313248453,1.0937393823961563,0.0033338444009211503,2.140962690901248,0.16705398576249447,1.243,0.025263998100063263,single_sersic,1.2432274008379864,4.0,0.9672316375139852,,,
SDSSJ0728+3835,0.206,0.688,209.86895621966778,8.056450496331893,1.260646235985115,0.0023643313157205997,1.6365849374736785,0.24890968711952538,1.899,0.03809829917463508,single_sersic,1.8991984929750427,4.0,1.8982818618213533,,,
SDSSJ0737+3216,0.322,0.581,313.63699567538436,10.76959066212701,0.9630363075961514,0.0009242342272381,2.315637764724049,0.205976189662964,2.828,0.05838907089515982,single_sersic,2.827934976157568,4.0,3.5667689832119263,,,
SDSSJ0819+4534,0.194,0.446,231.64770861325428,12.745776758756827,0.7837462825717325,0.0068733181753136,1.8441558676719425,0.21732490211187794,3.063,0.061780155389898464,double_sersic,0.8875820958645979,4.0,3.493565998529089,5.570925978694557,1.0,0.2012491251886105
SDSSJ0903+4116,0.43,1.065,270.3952734184722,21.277547992566035,1.274553469078056,0.00152423168294705,2.170819045781282,0.03887435176917607,2.982,0.09196156588488476,double_sersic,1.0357083279432775,4.0,1.0494959466126137,6.039004263442059,1.0,0.0544648727336658
SDSSJ0912+0029,0.1639999999999999,0.324,301.18427617788814,8.973281799264013,1.608539813734784,0.00175353993733225,1.5763970836560932,0.062454495105256094,4.21,0.08437944062388657,single_sersic,4.210354499591507,4.0,10.572976091956228,,,
SDSSJ0936+0913,0.19,0.588,227.13410726656505,8.412814843289766,1.0955039689114914,0.0029685740417694497,2.210451477973113,0.08663501659060487,2.108,0.04258480480171302,double_sersic,1.1627880971251685,4.0,3.996020022681632,3.9137714305217455,1.0,0.4029109873822722
SDSSJ0959+0410,0.126,0.535,192.12752433613747,8.820168821346323,0.959698506764486,0.0019436903995824,2.2164734908964183,0.08841622239752232,0.968,0.019385809242845654,double_sersic,0.4948306576521007,4.0,69.53778380081802,1.2878248862728308,1.0,25.19934618592647
SDSSJ1023+4230,0.191,0.696,271.5632516081551,11.960960938769134,1.400195512530979,0.00203398113122595,2.2222400465108616,0.15181486666785088,1.969,0.039494105889360254,single_sersic,1.9697640796235023,4.0,1.887220020225277,,,
SDSSJ1100+5329,0.317,0.858,210.83823616325566,17.790741182552512,1.4608970435088762,0.0030381294767496004,1.8932477300211232,0.14563415489457793,2.261,0.04561631725599953,single_sersic,2.259480236664549,4.0,0.7854954706976651,,,
SDSSJ1112+0826,0.273,0.629,260.41138879502046,14.607055489313991,1.4972212022904672,0.01036692337224615,1.9228838259594283,0.1784532190611893,1.623,0.03259833738091561,single_sersic,1.6236396052467277,4.0,1.6376453397848476,,,
SDSSJ1134+6027,0.153,0.474,238.58222940651675,7.737060636343897,1.2433434058678785,0.00423642759802395,1.7506612808115678,0.19693020587321505,1.899,0.03861968927891575,double_sersic,1.0818561097672053,4.0,5.3401574646378265,4.24075696525191,1.0,0.3131279563149299
