,name,z_lens,z_source,sigma_v_error,sigma_v,slit radius,seeing,slit,width
0,SDSSJ0008-0004,0.44,1.192,27.0,227.0,1.5,1.4,,
1,SDSSJ0029-0055,0.227,0.931,14.0,215.0,1.5,1.4,,
2,SDSSJ0037-0942,0.195,0.632,7.0,264.0,1.5,1.4,,
3,SDSSJ0044+0113,0.12,0.197,8.0,267.0,1.5,1.4,,
4,SDSSJ0216-0813,0.3317,0.5235,18.0,350.0,1.5,1.4,,
5,SDSSJ0252+0039,0.28,0.982,9.0,193.0,1.5,1.4,,
6,SDSSJ0330-0020,0.351,1.071,22.0,273.0,1.5,1.4,,
7,SDSSJ0728+3835,0.206,0.688,8.0,209.0,1.5,1.4,,
8,SDSSJ0737+3216,0.322,0.581,10.0,313.0,1.5,1.4,,
9,SDSSJ0819+4534,0.194,0.446,12.0,231.0,1.5,1.4,,
10,SDSSJ0903+4116,0.43,1.065,21.0,270.0,1.5,1.4,,
11,SDSSJ0912+0029,0.1639999999999999,0.324,8.0,301.0,1.5,1.4,,
12,SDSSJ0935-0003,0.347,0.467,20.0,308.0,1.5,1.4,,
13,SDSSJ0936+0913,0.19,0.588,8.0,227.0,1.5,1.4,,
14,SDSSJ0959+0410,0.126,0.535,8.0,192.0,1.5,1.4,,
15,SDSSJ0959+4416,0.237,0.531,13.0,241.0,1.5,1.4,,
16,SDSSJ1016+3859,0.168,0.439,9.0,254.0,1.5,1.4,,
17,SDSSJ1020+1122,0.282,0.5529999999999999,13.0,281.0,1.5,1.4,,
18,SDSSJ1023+4230,0.191,0.696,11.0,271.0,1.5,1.4,,
19,SDSSJ1100+5329,0.317,0.858,17.0,210.0,1.5,1.4,,
20,SDSSJ1112+0826,0.273,0.629,14.0,260.0,1.5,1.4,,
21,SDSSJ1134+6027,0.153,0.474,7.0,238.0,1.5,1.4,,
22,SDSSJ1142+1001,0.222,0.504,15.0,237.0,1.5,1.4,,
23,SDSSJ1143-0144,0.106,0.402,3.0,259.0,1.5,1.4,,
24,SDSSJ1153+4612,0.18,0.875,11.0,210.0,1.5,1.4,,
25,SDSSJ1204+0358,0.1639999999999999,0.631,12.0,250.0,1.5,1.4,,
26,SDSSJ1213+6708,0.123,0.64,7.0,267.0,1.5,1.4,,
27,SDSSJ1218+0830,0.135,0.7170000000000001,6.0,221.0,1.5,1.4,,
28,SDSSJ1250-0135,0.0871,0.3529,6.0,234.0,1.5,1.4,,
29,SDSSJ1250+0523,0.232,0.795,10.0,242.0,1.5,1.4,,
30,SDSSJ1251-0209,0.2243,0.7843,23.0,233.0,1.5,1.4,,
31,SDSSJ1306+0600,0.173,0.472,13.0,247.0,1.5,1.4,,
32,SDSSJ1313+4615,0.185,0.514,12.0,258.0,1.5,1.4,,
33,SDSSJ1319+1504,0.154,0.606,10.0,227.0,1.5,1.4,,
34,SDSSJ1330-0148,0.0808,0.7115,7.0,190.0,1.5,1.4,,
35,SDSSJ1402+6321,0.205,0.481,11.0,273.0,1.5,1.4,,
36,SDSSJ1403+0006,0.189,0.473,12.0,201.0,1.5,1.4,,
37,SDSSJ1432+6317,0.123,0.664,5.0,209.0,1.5,1.4,,
38,SDSSJ1443+0304,0.1338,0.4187,8.0,212.0,1.5,1.4,,
39,SDSSJ1451-0239,0.1254,0.5203,9.0,203.0,1.5,1.4,,
40,SDSSJ1531-0105,0.16,0.7440000000000001,10.0,261.0,1.5,1.4,,
41,SDSSJ1538+5817,0.143,0.531,8.0,177.0,1.5,1.4,,
42,SDSSJ1614+4522,0.178,0.8109999999999999,9.0,188.0,1.5,1.4,,
43,SDSSJ1621+3931,0.245,0.602,14.0,233.0,1.5,1.4,,
44,SDSSJ1627-0053,0.208,0.524,10.0,274.0,1.5,1.4,,
45,SDSSJ1630+4520,0.248,0.7929999999999999,13.0,282.0,1.5,1.4,,
46,SDSSJ1636+4707,0.228,0.675,10.0,223.0,1.5,1.4,,
