name,flag_imaging_tan23,slit,width,seeing,z_lens,z_source,sigma_v,sigma_v_error,theta_E,theta_E_error,gamma,gamma_error,e1_mass,e1_mass_err,e2_mass,e2_mass_err,light_model,e1_sersic,e1_sersic_err,e2_sersic,e2_sersic_err,r_eff,r_sersic_1,r_sersic_1_err,n_sersic_1,amp_sersic_1,amp_sersic_1_err,r_sersic_2,r_sersic_2_err,n_sersic_2,amp_sersic_2,amp_sersic_2_err
SL2SJ0208-0714,1.0,1.0,1.62,1.0,0.428,-1.0,295.0,27.0,2.583,0.027,1.98,0.04,0.086865891,0.004468046,0.08940184,0.004841839,double_sersic,0.08690208280874,0.0054216983179879,0.0856020760241058,0.0055858694636193,11.763769220598531,0.856,0.019,4.0,9.1508,0.2699,13.277,1.398,1.0,0.5396,0.0275
SL2SJ0213-0743,,1.0,1.68,0.6,0.7170000000000001,3.48,293.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,
SL2SJ0214-0405,1.0,1.0,1.88,0.8,0.609,1.88,287.0,47.0,1.221,0.006,1.86,0.04,0.039002792,0.003551313,0.023941125,0.003903129,double_sersic,0.0431671364612414,0.0044064170374854,0.024902630516695,0.0036496942340265,2.122771152334976,0.602,0.013,4.0,24.5231,0.7028,4.146,0.242,1.0,1.0942,0.0773
SL2SJ0217-0513,,1.5,1.68,0.6,0.6459999999999999,1.85,239.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
SL2SJ0219-0829,1.0,1.0,1.68,0.7,0.389,2.15,289.0,23.0,1.285,0.079,2.62,0.3,0.114866554,0.007227289,0.093204257,0.008322763,double_sersic,0.1257889502684612,0.0084895378211676,0.0836533619222467,0.0083685747635113,1.434997494843759,0.302,0.017,4.0,17.7852,1.3501,1.972,0.1159999999999999,1.0,1.9003,0.1418
SL2SJ0223-0651,,1.0,1.64,1.0,0.473,-1.0,312.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,
SL2SJ0225-0454,1.0,1.0,0.81,0.7,0.238,1.2,234.0,21.0,1.716,0.019,1.96,0.03,-0.122337098,0.001577664,0.150276956,0.001273423,double_sersic,-0.126183939023261,0.001391178890743,0.1517815120111903,0.0014366132135354,3.261704267508297,1.4780000000000002,0.011,4.0,1.9962,0.0212,7.286,0.084,1.0,0.1024,0.0022
SL2SJ0226-0406,1.0,1.5,1.68,0.6,0.7659999999999999,-1.0,333.0,24.0,1.289,0.017,2.02,0.19,0.027255429,0.012905479,-0.444525423,0.013011699,single_sersic,0.027255429,0.012905479,-0.444525423,0.013011699,0.8909999999999999,0.8909999999999999,0.045,4.0,0.2298,0.0115,,,,,
SL2SJ0226-0420,1.0,1.0,1.62,0.6,0.494,1.23,263.0,24.0,1.099,0.028,2.14,0.11,0.028624507,0.005759865,0.054947907,0.005237385,double_sersic,0.0255209687118678,0.0054673208764162,0.0630299667747475,0.0056396359963401,1.5381408773163427,1.815,0.069,4.0,0.2397,0.0153,0.108,0.004,1.0,11.6479,0.6665
SL2SJ0232-0408,1.0,1.0,1.68,0.7,0.352,2.34,281.0,26.0,1.012,0.026,2.49,0.16,0.085095048,0.004767609,-0.135902351,0.004335142,single_sersic,0.085095048,0.004767609,-0.135902351,0.004335142,1.129,1.129,0.015,4.0,0.7076,0.0354,,,,,
SL2SJ0849-0251,1.0,0.9,1.6,0.8,0.274,2.09,276.0,35.0,1.192,0.079,2.24,0.32,0.087627999,0.002199879,-0.103692474,0.002528112,double_sersic,0.088207542055374,0.0024428711196913,-0.1091709628447037,0.0024656344436382,3.0120696194154526,3.675,0.073,4.0,0.2085,0.0069,0.226,0.003,1.0,11.3772,0.2198
SL2SJ0849-0412,1.0,0.9,1.6,0.9,0.722,1.54,320.0,24.0,1.074,0.012,2.26,0.04,-0.040908889,0.022180344,0.270030128,0.018521961,single_sersic,-0.040908889,0.022180344,0.270030128,0.018521961,0.8240000000000001,0.8240000000000001,0.058,4.0,1.4204,0.071,,,,,
SL2SJ0858-0143,1.0,1.0,1.62,0.9,0.58,-1.0,233.0,25.0,0.953,0.029,2.09,0.32,-0.01112788,0.021783605,-0.057696337,0.021203461,single_sersic,-0.01112788,0.021783605,-0.057696337,0.021203461,1.466,1.466,0.111,4.0,0.0953,0.0048,,,,,
SL2SJ0901-0259,1.0,0.9,1.6,0.7,0.67,1.19,-1.0,-1.0,0.997,0.066,2.11,0.08,-0.068218583,0.033864296,-0.088615965,0.031020782,single_sersic,-0.068218583,0.033864296,-0.088615965,0.031020782,0.6920000000000001,0.6920000000000001,0.064,4.0,0.1549,0.0077,,,,,
SL2SJ0904-0059,1.0,0.9,1.6,0.7,0.611,2.36,183.0,21.0,1.381,0.024,2.24,0.13,0.116165289,0.016299907,0.070738067,0.013783075,single_sersic,0.116165289,0.016299907,0.070738067,0.013783075,2.25,2.25,0.108,4.0,0.0615,0.0031,,,,,
SL2SJ0959+0206,1.0,0.9,1.6,0.7,0.552,3.35,188.0,22.0,0.6709999999999999,0.132,2.04,0.14,-0.039629609,0.011293668,0.091649545,0.014208982,single_sersic,-0.039629609,0.011293668,0.091649545,0.014208982,0.464,0.464,0.015,4.0,0.7049,0.0352,,,,,
SL2SJ1358+5459,,1.0,1.62,0.8,0.51,-1.0,287.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,
SL2SJ1359+5535,1.0,1.0,1.62,0.7,0.7829999999999999,2.77,228.0,29.0,1.107,0.041,1.95,0.15,-0.047925688,0.031420781,0.16434236,0.028612354,single_sersic,-0.047925688,0.031420781,0.16434236,0.028612354,1.889,1.889,0.159,4.0,0.0355,0.0018,,,,,
SL2SJ1401+5544,1.0,1.0,1.62,0.8,0.464,-1.0,297.0,22.0,1.924,0.026,2.03,0.04,-0.072973625,0.002091753,0.085655179,0.001693829,double_sersic,-0.0763115665537265,0.0019635473283368,0.0890308090907156,0.0021548185021478,2.217881491466878,0.943,0.013,4.0,27.5092,0.4856,4.598,0.129,1.0,1.6535,0.0769
SL2SJ1401+5557,,1.5,3.36,0.8,0.527,-1.0,332.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
